name,height,age,season,team_name,team_id,injury_type,injury_beginning_date,injury_recovering_date
Miha Škedelj,201,23,2022/2023,KK Krka,10,Contusión muscular,2022-10-09,2022-10-15
Jan Špan,189,29,2022/2023,KK Krka,10,Rotura de fibras,2022-09-26,2022-10-11
Jan Špan,189,29,2022/2023,KK Krka,10,Rotura de fibras,2022-10-18,2022-11-14
Jan Špan,189,29,2022/2023,KK Krka,10,Fractura de dedo,2023-03-28,2023-04-22
Jan Babič,191,18,2022/2023,KK Kansai Helios Domžale,20,Contusión muscular,2023-03-25,2023-03-31
Jan Babič,191,18,2022/2023,KK Kansai Helios Domžale,20,Esguince de tobillo,2023-03-14,2023-03-23
Jan Babič,191,18,2022/2023,KK Kansai Helios Domžale,20,Esguince de tobillo,2023-01-14,2023-01-27
Niko Bačvić,191,25,2022/2023,KK Kansai Helios Domžale,20,Tendinitis rotuliana,2023-05-08,2023-06-04
Niko Bačvić,191,25,2022/2023,KK Kansai Helios Domžale,20,Distensión muscular,2023-01-30,2023-02-07
Niko Bačvić,191,25,2022/2023,KK Kansai Helios Domžale,20,Fractura de dedo,2023-06-05,2023-06-26
Lovro Buljević,210,24,2022/2023,KK Kansai Helios Domžale,20,Lesión de cuádriceps,2022-09-26,2022-10-07
Lovro Buljević,210,24,2022/2023,KK Kansai Helios Domžale,20,Lesión de hombro,2023-05-16,2023-06-15
Tadej Ferme,187,30,2022/2023,KK Kansai Helios Domžale,20,Distensión muscular,2023-05-19,2023-05-24
Tadej Ferme,187,30,2022/2023,KK Kansai Helios Domžale,20,Lesión de isquiotibiales,2022-10-06,2022-10-21
Tadej Ferme,187,30,2022/2023,KK Kansai Helios Domžale,20,Lesión de hombro,2022-12-30,2023-01-16
Tadej Ferme,187,30,2022/2023,KK Kansai Helios Domžale,20,Lumbalgia,2023-06-19,2023-06-27
Austin Luke,194,27,2022/2023,KK Kansai Helios Domžale,20,Lesión de hombro,2022-09-21,2022-10-25
Austin Luke,194,27,2022/2023,KK Kansai Helios Domžale,20,Lesión de hombro,2023-04-03,2023-04-20
Blaž Mahkovic,201,32,2022/2023,KK Kansai Helios Domžale,20,Lesión de hombro,2023-05-26,2023-06-28
Blaž Mahkovic,201,32,2022/2023,KK Kansai Helios Domžale,20,Lesión de cuádriceps,2022-12-14,2023-01-01
Blaž Mahkovic,201,32,2022/2023,KK Kansai Helios Domžale,20,Lesión de cuádriceps,2023-01-14,2023-01-31
Blaž Mahkovic,201,32,2022/2023,KK Kansai Helios Domžale,20,Lumbalgia,2023-02-01,2023-02-10
Tibor Mirtič,202,19,2022/2023,KK Kansai Helios Domžale,20,Lesión de cuádriceps,2022-09-05,2022-09-17
Tibor Mirtič,202,19,2022/2023,KK Kansai Helios Domžale,20,Contusión muscular,2022-10-08,2022-10-12
Tibor Mirtič,202,19,2022/2023,KK Kansai Helios Domžale,20,Rotura de fibras,2023-05-18,2023-06-04
Urban Oman,198,23,2022/2023,KK Kansai Helios Domžale,20,Distensión muscular,2022-10-06,2022-10-16
Urban Oman,198,23,2022/2023,KK Kansai Helios Domžale,20,Fractura de dedo,2023-01-24,2023-02-24
Urban Oman,198,23,2022/2023,KK Kansai Helios Domžale,20,Distensión muscular,2023-06-06,2023-06-18
Lenart Sirc,203,18,2022/2023,KK Kansai Helios Domžale,20,Tendinitis rotuliana,2022-09-05,2022-10-08
Lenart Sirc,203,18,2022/2023,KK Kansai Helios Domžale,20,Rotura de fibras,2022-10-24,2022-11-11
Lenart Sirc,203,18,2022/2023,KK Kansai Helios Domžale,20,Distensión muscular,2023-06-11,2023-06-20
Lenart Sirc,203,18,2022/2023,KK Kansai Helios Domžale,20,Distensión muscular,2023-01-23,2023-02-01
Dennis Woodrow Tunstall Jr,206,25,2022/2023,KK Kansai Helios Domžale,20,Fractura de dedo,2022-12-14,2023-01-13
Dennis Woodrow Tunstall Jr,206,25,2022/2023,KK Kansai Helios Domžale,20,Tendinitis rotuliana,2023-05-09,2023-06-08
Dennis Woodrow Tunstall Jr,206,25,2022/2023,KK Kansai Helios Domžale,20,Tendinitis rotuliana,2022-10-18,2022-11-02
Dennis Woodrow Tunstall Jr,206,25,2022/2023,KK Kansai Helios Domžale,20,Lumbalgia,2023-01-20,2023-02-09
Jan Zemljič,192,17,2022/2023,KK Kansai Helios Domžale,20,Esguince de tobillo,2022-11-06,2022-11-18
Jan Zemljič,192,17,2022/2023,KK Kansai Helios Domžale,20,Tendinitis rotuliana,2023-04-15,2023-05-04
Alen Zulić,194,18,2022/2023,KK Kansai Helios Domžale,20,Lumbalgia,2022-09-05,2022-09-20
Alen Zulić,194,18,2022/2023,KK Kansai Helios Domžale,20,Lesión de isquiotibiales,2022-11-16,2022-11-28
Alen Zulić,194,18,2022/2023,KK Kansai Helios Domžale,20,Rotura de fibras,2023-03-09,2023-03-23
Alen Zulić,194,18,2022/2023,KK Kansai Helios Domžale,20,Lesión de hombro,2022-11-15,2022-12-17
Bogdan Bojić,195,23,2022/2023,KK Sutjeska Elektroprivreda,37,Distensión muscular,2023-02-05,2023-02-10
Bogdan Bojić,195,23,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de cuádriceps,2023-03-03,2023-03-14
Bogdan Bojić,195,23,2022/2023,KK Sutjeska Elektroprivreda,37,Fractura de dedo,2022-10-23,2022-11-19
Zdravko Bošković,200,25,2022/2023,KK Sutjeska Elektroprivreda,37,Rotura de fibras,2023-03-28,2023-04-25
Zdravko Bošković,200,25,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de hombro,2022-11-19,2022-12-27
Zdravko Bošković,200,25,2022/2023,KK Sutjeska Elektroprivreda,37,Fractura de dedo,2022-09-13,2022-10-08
Ognjen Gutović,200,19,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de cuádriceps,2023-01-06,2023-01-29
Ognjen Gutović,200,19,2022/2023,KK Sutjeska Elektroprivreda,37,Tendinitis rotuliana,2022-10-26,2022-11-14
Miloš Koprivica,208,27,2022/2023,KK Sutjeska Elektroprivreda,37,Esguince de tobillo,2023-04-29,2023-05-19
Miloš Koprivica,208,27,2022/2023,KK Sutjeska Elektroprivreda,37,Fractura de dedo,2023-04-24,2023-05-20
Miloš Koprivica,208,27,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de cuádriceps,2022-12-26,2023-01-14
Milan Lužaić,196,25,2022/2023,KK Sutjeska Elektroprivreda,37,Esguince de tobillo,2022-12-08,2022-12-25
Milan Lužaić,196,25,2022/2023,KK Sutjeska Elektroprivreda,37,Lumbalgia,2023-01-21,2023-02-02
Dimitrije Mališić,210,20,2022/2023,KK Sutjeska Elektroprivreda,37,Tendinitis rotuliana,2023-05-19,2023-06-13
Dimitrije Mališić,210,20,2022/2023,KK Sutjeska Elektroprivreda,37,Lumbalgia,2023-02-17,2023-03-06
Miloš Popović,202,24,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de isquiotibiales,2022-12-01,2022-12-19
Miloš Popović,202,24,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de hombro,2023-01-14,2023-02-28
Jacoby Spencer Ross,178,25,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de isquiotibiales,2023-04-11,2023-05-10
Jacoby Spencer Ross,178,25,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de cuádriceps,2023-05-20,2023-06-09
Vladimir Tomašević,201,29,2022/2023,KK Sutjeska Elektroprivreda,37,Lumbalgia,2022-12-07,2022-12-23
Vladimir Tomašević,201,29,2022/2023,KK Sutjeska Elektroprivreda,37,Tendinitis rotuliana,2023-04-12,2023-04-27
Ilija Varajić,194,20,2022/2023,KK Sutjeska Elektroprivreda,37,Rotura de fibras,2022-12-10,2023-01-07
Ilija Varajić,194,20,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de cuádriceps,2022-10-06,2022-10-29
Mašan Vrbica,187,28,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de cuádriceps,2022-11-03,2022-11-23
Mašan Vrbica,187,28,2022/2023,KK Sutjeska Elektroprivreda,37,Tendinitis rotuliana,2023-02-06,2023-03-08
Mašan Vrbica,187,28,2022/2023,KK Sutjeska Elektroprivreda,37,Lumbalgia,2023-03-26,2023-04-07
Mašan Vrbica,187,28,2022/2023,KK Sutjeska Elektroprivreda,37,Tendinitis rotuliana,2022-12-08,2023-01-08
Miloš Vujović,206,26,2022/2023,KK Sutjeska Elektroprivreda,37,Lumbalgia,2022-11-29,2022-12-16
Miloš Vujović,206,26,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de hombro,2023-02-02,2023-03-07
Miloš Vujović,206,26,2022/2023,KK Sutjeska Elektroprivreda,37,Lumbalgia,2022-09-01,2022-09-16
Andrej Vulević,190,22,2022/2023,KK Sutjeska Elektroprivreda,37,Tendinitis rotuliana,2023-04-09,2023-04-29
Andrej Vulević,190,22,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de hombro,2023-02-12,2023-03-18
Andrej Vulević,190,22,2022/2023,KK Sutjeska Elektroprivreda,37,Contusión muscular,2022-12-19,2022-12-29
Michael Kelvin Weathers,191,25,2022/2023,KK Sutjeska Elektroprivreda,37,Contusión muscular,2022-10-14,2022-10-19
Michael Kelvin Weathers,191,25,2022/2023,KK Sutjeska Elektroprivreda,37,Tendinitis rotuliana,2023-02-19,2023-03-21
Michael Kelvin Weathers,191,25,2022/2023,KK Sutjeska Elektroprivreda,37,Lesión de isquiotibiales,2022-12-25,2023-01-11
Michael Kelvin Weathers,191,25,2022/2023,KK Sutjeska Elektroprivreda,37,Fractura de dedo,2022-09-13,2022-10-07
Marko Ćalić,196,36,2022/2023,KK Sutjeska Elektroprivreda,37,Fractura de dedo,2022-10-08,2022-11-12
Marko Ćalić,196,36,2022/2023,KK Sutjeska Elektroprivreda,37,Contusión muscular,2022-12-09,2022-12-18
Rijad Avdić,203,24,2022/2023,OKK Spars,61,Lumbalgia,2023-03-24,2023-04-07
Rijad Avdić,203,24,2022/2023,OKK Spars,61,Fractura de dedo,2022-09-03,2022-09-27
Rijad Avdić,203,24,2022/2023,OKK Spars,61,Lesión de isquiotibiales,2022-12-22,2023-01-14
Rijad Avdić,203,24,2022/2023,OKK Spars,61,Distensión muscular,2023-04-26,2023-05-09
Tarik Bukva,195,18,2022/2023,OKK Spars,61,Rotura de fibras,2022-11-02,2022-11-19
Tarik Bukva,195,18,2022/2023,OKK Spars,61,Contusión muscular,2023-04-26,2023-05-01
Nedim Buza,205,27,2022/2023,OKK Spars,61,Rotura de fibras,2023-02-10,2023-03-04
Nedim Buza,205,27,2022/2023,OKK Spars,61,Contusión muscular,2023-06-08,2023-06-17
Nedim Buza,205,27,2022/2023,OKK Spars,61,Contusión muscular,2023-05-02,2023-05-07
Nedim Buza,205,27,2022/2023,OKK Spars,61,Contusión muscular,2023-01-05,2023-01-12
Alem Fejzić,190,17,2022/2023,OKK Spars,61,Tendinitis rotuliana,2023-05-07,2023-06-06
Alem Fejzić,190,17,2022/2023,OKK Spars,61,Fractura de dedo,2022-10-10,2022-11-07
Alem Fejzić,190,17,2022/2023,OKK Spars,61,Tendinitis rotuliana,2023-01-18,2023-02-08
Alem Fejzić,190,17,2022/2023,OKK Spars,61,Lesión de cuádriceps,2022-11-10,2022-11-30
Aleksa Gatarić,186,20,2022/2023,OKK Spars,61,Fractura de dedo,2022-11-18,2022-12-20
Aleksa Gatarić,186,20,2022/2023,OKK Spars,61,Fractura de dedo,2023-04-01,2023-04-23
Raylon Tevon Howard,195,24,2022/2023,OKK Spars,61,Lesión de cuádriceps,2023-04-01,2023-04-25
Raylon Tevon Howard,195,24,2022/2023,OKK Spars,61,Esguince de tobillo,2023-03-19,2023-03-29
Raylon Tevon Howard,195,24,2022/2023,OKK Spars,61,Lesión de hombro,2022-09-11,2022-10-26
Harun Huseinspahić,195,21,2022/2023,OKK Spars,61,Lumbalgia,2022-09-04,2022-09-18
Harun Huseinspahić,195,21,2022/2023,OKK Spars,61,Lesión de cuádriceps,2023-03-19,2023-04-07
Harun Huseinspahić,195,21,2022/2023,OKK Spars,61,Lumbalgia,2023-06-07,2023-06-22
Harun Huseinspahić,195,21,2022/2023,OKK Spars,61,Lesión de hombro,2022-12-22,2023-02-03
Filip Jović,205,17,2022/2023,OKK Spars,61,Fractura de dedo,2023-04-12,2023-05-10
Filip Jović,205,17,2022/2023,OKK Spars,61,Contusión muscular,2023-03-19,2023-03-22
Filip Jović,205,17,2022/2023,OKK Spars,61,Lesión de cuádriceps,2022-11-24,2022-12-16
Stevan Karapandžić,191,21,2022/2023,OKK Spars,61,Distensión muscular,2023-06-01,2023-06-15
Stevan Karapandžić,191,21,2022/2023,OKK Spars,61,Esguince de tobillo,2023-03-21,2023-04-11
Stevan Karapandžić,191,21,2022/2023,OKK Spars,61,Lesión de hombro,2022-09-14,2022-10-17
Luka Majstorović,206,26,2022/2023,OKK Spars,61,Lumbalgia,2023-04-25,2023-05-04
Luka Majstorović,206,26,2022/2023,OKK Spars,61,Distensión muscular,2023-01-12,2023-01-17
Jovan Marjanović,192,19,2022/2023,OKK Spars,61,Lesión de cuádriceps,2023-04-21,2023-05-07
Jovan Marjanović,192,19,2022/2023,OKK Spars,61,Lesión de cuádriceps,2023-03-14,2023-04-03
Jovan Marjanović,192,19,2022/2023,OKK Spars,61,Tendinitis rotuliana,2023-01-08,2023-02-04
Terrance Motley,201,31,2022/2023,OKK Spars,61,Contusión muscular,2023-06-04,2023-06-07
Terrance Motley,201,31,2022/2023,OKK Spars,61,Esguince de tobillo,2022-12-24,2023-01-05
Zinedin Mulić,199,18,2022/2023,OKK Spars,61,Lesión de isquiotibiales,2022-09-21,2022-10-21
Zinedin Mulić,199,18,2022/2023,OKK Spars,61,Esguince de tobillo,2022-12-12,2022-12-22
Zinedin Mulić,199,18,2022/2023,OKK Spars,61,Esguince de tobillo,2022-11-18,2022-12-04
Zinedin Mulić,199,18,2022/2023,OKK Spars,61,Fractura de dedo,2023-05-01,2023-05-25
Omar Pajić,205,23,2022/2023,OKK Spars,61,Lesión de isquiotibiales,2022-12-21,2023-01-18
Omar Pajić,205,23,2022/2023,OKK Spars,61,Contusión muscular,2023-03-08,2023-03-15
Omar Pajić,205,23,2022/2023,OKK Spars,61,Distensión muscular,2022-10-29,2022-11-12
Omar Pajić,205,23,2022/2023,OKK Spars,61,Distensión muscular,2022-09-14,2022-09-23
Anes Podojak,187,21,2022/2023,OKK Spars,61,Lesión de hombro,2023-03-12,2023-04-17
Anes Podojak,187,21,2022/2023,OKK Spars,61,Lumbalgia,2022-12-11,2022-12-29
Anes Podojak,187,21,2022/2023,OKK Spars,61,Lesión de isquiotibiales,2023-01-03,2023-01-31
Filip Ružičić,187,16,2022/2023,OKK Spars,61,Tendinitis rotuliana,2022-11-01,2022-12-06
Filip Ružičić,187,16,2022/2023,OKK Spars,61,Lesión de hombro,2023-02-25,2023-04-06
Đorđe Topolović,208,21,2022/2023,OKK Spars,61,Lumbalgia,2023-03-09,2023-03-26
Đorđe Topolović,208,21,2022/2023,OKK Spars,61,Lesión de isquiotibiales,2022-09-07,2022-10-03
Đorđe Topolović,208,21,2022/2023,OKK Spars,61,Lumbalgia,2023-05-09,2023-05-29
Đorđe Topolović,208,21,2022/2023,OKK Spars,61,Lesión de isquiotibiales,2023-03-05,2023-03-28
Miloš Vraneš,201,27,2022/2023,OKK Spars,61,Contusión muscular,2023-04-11,2023-04-16
Miloš Vraneš,201,27,2022/2023,OKK Spars,61,Distensión muscular,2023-01-17,2023-01-30
Miloš Vraneš,201,27,2022/2023,OKK Spars,61,Lesión de hombro,2023-05-06,2023-06-15
Miloš Vraneš,201,27,2022/2023,OKK Spars,61,Contusión muscular,2023-02-13,2023-02-22
Harun Zrno,198,18,2022/2023,OKK Spars,61,Lesión de isquiotibiales,2023-04-19,2023-05-07
Harun Zrno,198,18,2022/2023,OKK Spars,61,Fractura de dedo,2023-03-14,2023-04-17
Haris Ćurevac,198,26,2022/2023,OKK Spars,61,Esguince de tobillo,2023-02-14,2023-02-28
Haris Ćurevac,198,26,2022/2023,OKK Spars,61,Distensión muscular,2022-12-18,2022-12-30
Haris Ćurevac,198,26,2022/2023,OKK Spars,61,Lesión de cuádriceps,2023-01-22,2023-02-09
Sandi Grubelić,196,25,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2022-09-06,2022-10-07
Sandi Grubelić,196,25,2022/2023,KK Zlatibor Mozzart,70,Rotura de fibras,2022-10-14,2022-10-31
Sandi Grubelić,196,25,2022/2023,KK Zlatibor Mozzart,70,Fractura de dedo,2023-05-09,2023-06-11
Sandi Grubelić,196,25,2022/2023,KK Zlatibor Mozzart,70,Rotura de fibras,2023-01-02,2023-01-28
Lazar Joksimović,203,20,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2023-04-18,2023-04-28
Lazar Joksimović,203,20,2022/2023,KK Zlatibor Mozzart,70,Esguince de tobillo,2023-01-29,2023-02-06
Lazar Joksimović,203,20,2022/2023,KK Zlatibor Mozzart,70,Fractura de dedo,2023-03-08,2023-04-09
Lazar Joksimović,203,20,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2023-06-09,2023-06-17
Stevan Karapandžić,191,21,2022/2023,KK Zlatibor Mozzart,70,Lesión de cuádriceps,2023-01-17,2023-02-10
Stevan Karapandžić,191,21,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2022-11-01,2022-11-23
Stevan Karapandžić,191,21,2022/2023,KK Zlatibor Mozzart,70,Fractura de dedo,2022-12-04,2023-01-03
Andrija Matović,198,19,2022/2023,KK Zlatibor Mozzart,70,Fractura de dedo,2023-01-20,2023-02-24
Andrija Matović,198,19,2022/2023,KK Zlatibor Mozzart,70,Lesión de hombro,2022-10-22,2022-11-30
Lazar Milošević,205,18,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2023-03-04,2023-03-25
Lazar Milošević,205,18,2022/2023,KK Zlatibor Mozzart,70,Distensión muscular,2022-09-08,2022-09-17
Aleksandar Ponjavić,200,31,2022/2023,KK Zlatibor Mozzart,70,Rotura de fibras,2023-01-19,2023-02-04
Aleksandar Ponjavić,200,31,2022/2023,KK Zlatibor Mozzart,70,Esguince de tobillo,2023-06-11,2023-06-18
Aleksandar Ponjavić,200,31,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2023-05-10,2023-05-28
Aleksandar Ponjavić,200,31,2022/2023,KK Zlatibor Mozzart,70,Lesión de isquiotibiales,2023-04-29,2023-05-09
Nemanja Protić,182,36,2022/2023,KK Zlatibor Mozzart,70,Contusión muscular,2022-12-04,2022-12-12
Nemanja Protić,182,36,2022/2023,KK Zlatibor Mozzart,70,Esguince de tobillo,2023-05-03,2023-05-14
Nemanja Protić,182,36,2022/2023,KK Zlatibor Mozzart,70,Lesión de isquiotibiales,2023-03-25,2023-04-06
Milić Starovlah,200,24,2022/2023,KK Zlatibor Mozzart,70,Lesión de isquiotibiales,2022-09-28,2022-10-26
Milić Starovlah,200,24,2022/2023,KK Zlatibor Mozzart,70,Distensión muscular,2023-06-16,2023-06-23
Milić Starovlah,200,24,2022/2023,KK Zlatibor Mozzart,70,Tendinitis rotuliana,2023-01-06,2023-01-22
Tadija Tadić,196,23,2022/2023,KK Zlatibor Mozzart,70,Rotura de fibras,2023-04-02,2023-04-28
Tadija Tadić,196,23,2022/2023,KK Zlatibor Mozzart,70,Lesión de hombro,2022-12-25,2023-01-28
Bogdan Tejić,187,21,2022/2023,KK Zlatibor Mozzart,70,Lumbalgia,2023-04-15,2023-04-29
